accession_number;gene_names;protein_names;ksmbr_number;kust_number
A0A2C9CDZ0;;Transposase;KSMBR1_1411;
A0A2C9CDY6;yi5B;Uncharacterized protein;KSMBR1_1412;
Q1PZ90;;Helicase C-terminal domain-containing protein;KSMBR1_1413;kustd1653
Q1PZ89;;Uncharacterized protein;KSMBR1_1414;kustd1654
Q1PZ87;;Putative orf;KSMBR1_1415 KSMBR1_3864;kustd1656
Q1PZ86;;Hypothetical iron sulfur protein (Putative iron sulfur protein);KSMBR1_1416;kustd1657
A0A2C9CGN8;;Uncharacterized protein;KSMBR1_1418;
Q1PZA2;;Phage_integrase domain-containing protein;KSMBR1_1419;kustd1661
Q1PZA1;;Uncharacterized protein;KSMBR1_1420;kustd1662
A0A2C9CDZ8;;Uncharacterized protein;KSMBR1_1421;
A0A2C9CDZ5;;Uncharacterized protein;KSMBR1_1422;
Q1PZ98;;Uncharacterized protein;KSMBR1_1423;kustd1665
Q1PZ97;;Uncharacterized protein;KSMBR1_1424;kustd1666
Q1PZ96;rnk;Similar to regulator of nucleoside diphosphate kinase;KSMBR1_1425;kustd1667
Q1PZB4;;CSD domain-containing protein;KSMBR1_1426;kustd1669
Q1PZB2;gcvH gcvH_1;Glycine cleavage system H protein;KSMBR1_1427;kustd1671
Q1PZB1;gcvT;Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein);KSMBR1_1428;kustd1672
Q1PZB0;;Uncharacterized protein;KSMBR1_1429;kustd1673
Q1PZA9;recJ;Similar to exonuclease RecJ (EC 3.1.-.-);KSMBR1_1430;kustd1674
Q1PZA8;msbA msbA_1;Similar to ABC transporter MsbA;KSMBR1_1431;kustd1675
Q1PZA7;rmlD;dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133);KSMBR1_1432;kustd1676
Q1PZA6;;Amidohydrolase;KSMBR1_1433;kustd1677
Q1PZA5;;Uncharacterized protein;KSMBR1_1434;kustd1678
Q1PZC3;fabG fabG_2;Similar to 3-oxoacyl carrier protein reductase (EC 1.1.1.100);KSMBR1_1435;kustd1679
Q1PZC2;;Uncharacterized protein;KSMBR1_1436;kustd1680
Q1PZC1;;Uncharacterized protein;KSMBR1_1437;kustd1681
A0A2C9CGQ8;;GGDEF domain-containing protein;KSMBR1_1438;
A0A2C9CEC7;;Uncharacterized protein;KSMBR1_1439;
Q1PZB9;cheC cheC_1;Similar to CheC like chemotaxis protein;KSMBR1_1440;kustd1683
Q1PZB8;cheY cheY_5;Similar to CheY like response regulatory protein;KSMBR1_1441;kustd1684
Q1PZB6;cyt_C2;Similar to cytochrome c (CII);KSMBR1_1442;kustd1686
Q1PZB5;kbl;Strongly similar to 2-amino-3-ketobutyrate CoA ligase (EC 2.3.1.29);KSMBR1_1443;kustd1687
Q1PZD2;tdh;Strong similarity to L-threonine dehydrogenase (EC 1.1.1.103);KSMBR1_1444;kustd1688
Q1PZD1;yggJ;Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193);KSMBR1_1445;kustd1689
Q1PZD0;rnfB;Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rnf electron transport complex subunit B);KSMBR1_1446;kustd1690
A0A2C9CE26;ilvB;Acetolactate synthase (EC 2.2.1.6);KSMBR1_1447;
Q1PZC8;spoVG;Uncharacterized protein;KSMBR1_1448;kustd1692
Q1PZC7;ispE;4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase);KSMBR1_1449;kustd1693
Q1PZC6;HemK hemK;Similar to protein relase factor 2 methylase (HemK);KSMBR1_1450;kustd1694
Q1PZC4;rf-2 prfB;Peptide chain release factor 2 (RF-2);KSMBR1_1451;kustd1696
A0A2C9CE24;glyA;Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1);KSMBR1_1452;
Q1PZE0;gpdA gpsA;Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase);KSMBR1_1453;kustd1698
A0A2C9CEG0;;Uncharacterized protein;KSMBR1_1454;
Q1PZD8;narG nrxA;Nitrite oxidoreductase subunit A (Similar to nitrate reductase subunit NarG) (EC 1.7.99.4);KSMBR1_1455;kustd1700
Q1PZD7;;Uncharacterized protein;KSMBR1_1456;kustd1701
A0A2C9CE34;serD;Selenate reductase assembly chaperone protein;KSMBR1_1457;
Q1PZD5;narH nrxB;Nitrite oxidoreductase subunit B (EC 1.7.99.4) (Strongly similar to nitrate reductase (NarH));KSMBR1_1458;kustd1703
Q1PZD4;nrxC;Nitrite oxidoreductase subunit C;KSMBR1_1459;kustd1704
A0A2C9CDL6;;Uncharacterized protein;KSMBR1_1460;
Q1PZF1;uspA uspA_1;Similar to universal stress protein UspA;KSMBR1_1461;kustd1706
Q1PZF0;;Conserved hypothetical (Monoheme) protein;KSMBR1_1462;kustd1707
Q1PZE9;;Hypothetical (Tetraheme) protein (Putative (Tetraheme) protein);KSMBR1_1463;kustd1708
A0A2C9CEG9;;Putative (Diheme) protein;KSMBR1_1464;
Q1PZE7;;Hypothetical (Monoheme) protein (Putative (Monoheme) protein);KSMBR1_1465;kustd1710
Q1PZE6;;Hypothetical (Diheme) protein (Putative (Diheme) protein);KSMBR1_1466;kustd1711
Q1PZE5;cydA;Similar to subunit 1 of alternative cytochrome bd quinol oxidase (CydA);KSMBR1_1467;kustd1712
A0A2C9CGT8;;Uncharacterized protein;KSMBR1_1468;
Q1PZE3;;Uncharacterized protein;KSMBR1_1469;kustd1714
Q1PZG0;;Reelin domain-containing protein;KSMBR1_1470;kustd1716
Q1PZF9;;Uncharacterized protein;KSMBR1_1471;kustd1717
A0A2C9CE44;;Uncharacterized protein;KSMBR1_1472;
A0A2C9CE39;;Uncharacterized protein;KSMBR1_1473;
Q1PZF6;focA focA_3;Similar to formate/nitrite transporter FocA;KSMBR1_1474;kustd1720
Q1PZF5;focA focA_4;Similar to formate/nitrite transporter FocA;KSMBR1_1475;kustd1721
Q1PZF4;;Uncharacterized protein;KSMBR1_1476;kustd1722
A0A2C9CE49;;Uncharacterized protein;KSMBR1_1477;
Q1PZF2;;Uncharacterized protein;KSMBR1_1478;kustd1724
Q1PZH0;;Uncharacterized protein;KSMBR1_1479;kustd1725
Q1PZG9;;Conserved hypothetical dynamin like protein;KSMBR1_1480;kustd1726
Q1PZG8;smc;Chromosome partition protein Smc;KSMBR1_1481;kustd1727
Q1PZG7;;Uncharacterized protein;KSMBR1_1482;kustd1728
Q1PZG6;nrdG;Similar to ribonucleoside triphosphate reductase activating protein NrdG;KSMBR1_1483;kustd1729
Q1PZG5;nrdD;Similar to oxygen sensitive ribonucleoside triphosphate reductase NrdD;KSMBR1_1484;kustd1730
Q1PZG4;nrdR;Transcriptional repressor NrdR;KSMBR1_1485;kustd1731
Q1PZG3;comEB;Similar to dCMP deaminase;KSMBR1_1486;kustd1732
Q1PZG2;thdF mnmE thdF_1 trmE;tRNA modification GTPase MnmE (EC 3.6.-.-);KSMBR1_1487;kustd1733
A0A2C9CGV8;yidC;Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC);KSMBR1_1488;
Q1PZI0;KSMBR1_1489;UPF0434 protein;KSMBR1_1489;kustd1735
A0A2C9CDN9;;Segregation and condensation protein A;KSMBR1_1490;
Q1PZH8;;Peptidase_M50 domain-containing protein;KSMBR1_1491;kustd1737
Q1PZH6;KSMBR1_1492;UPF0178 protein;KSMBR1_1492;kustd1739
Q1PZH5;;GIY-YIG domain-containing protein;KSMBR1_1493;kustd1740
A0A2C9CEJ9;pepF_1;Uncharacterized protein;KSMBR1_1494;
A0A2C9CE00;pepF_2;Uncharacterized protein;KSMBR1_1495;
A0A2C9CEC6;pepF_3;Peptidase_M3 domain-containing protein;KSMBR1_1496;
Q1PY62;;DUF4338 domain-containing protein;KSMBR1_1497;kusta0008
A0A2C9CGW6;;DDE_Tnp_1 domain-containing protein;KSMBR1_1498;
Q1PZI9;;Uncharacterized protein;KSMBR1_1499;kustd1745
A0A2C9CDP9;cmo;Uncharacterized protein;KSMBR1_1500;
Q1PZI7;WaaE waaE;Similar to glucosyl-transferase;KSMBR1_1501;kustd1747
A0A2C9CE75;;Uncharacterized protein;KSMBR1_1502;
A0A2C9CE73;;Uncharacterized protein;KSMBR1_1503;
A0A2C9CEK9;gyrA_2;DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2);KSMBR1_1504;
Q1PZI5;gloB;Similar to hydroxyacylglutathione hydrolase (EC 3.1.2.6);KSMBR1_1505;kustd1749
Q1PZI4;ndk ndk_1;Nucleoside diphosphate kinase (EC 2.7.4.6);KSMBR1_1506;kustd1750
Q1PZI3;folC;Similar to multifunctional folylpolyglutamate synthase/dihydrofolate synthase (EC 6.3.2.17);KSMBR1_1507;kustd1751
A0A2C9CGY0;thdF_2;Uncharacterized protein;KSMBR1_1508;
A0A2C9CEJ5;copA_1;HMA domain-containing protein;KSMBR1_1509;
A0A2C9CDQ9;arsB;CitMHS domain-containing protein;KSMBR1_1510;
A0A2C9CE82;oleB;Uncharacterized protein;KSMBR1_1511;
A0A2C9CE85;;Uncharacterized protein;KSMBR1_1512;
A0A2C9CE81;ileS_1 ileS;Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS);KSMBR1_1513;
Q1PZJ5;yggU;UPF0235 protein;KSMBR1_1514;kustd1758
A0A2C9CE19;acyp2;Acylphosphatase (EC 3.6.1.7);KSMBR1_1515;
Q1PZJ3;ccsA ccsA_2 resC;Similar to cytochrome c biogenesis protein resC;KSMBR1_1516;kustd1760
Q1PZJ2;resB;Similar to ResB-like c-type cytochrome synthesis protein;KSMBR1_1517;kustd1761
Q1PZJ0;MotB motB_2;Similar to flagellar motor protein MotB;KSMBR1_1518;kustd1763
Q1PZK9;hisIE;Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19);KSMBR1_1519;kustd1764
Q1PZK7;thiC thiC_3 thiE;Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase);KSMBR1_1520;kustd1766
A0A2C9CE92;purB;Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase);KSMBR1_1521;
Q1PZK4;groEL groEL_1 groL;60 kDa chaperonin (GroEL protein) (Protein Cpn60);KSMBR1_1522;kustd1769
Q1PZK3;cpn10 groES groS;10 kDa chaperonin (GroES protein) (Protein Cpn10);KSMBR1_1523;kustd1770
Q1PZK2;divK;Similar to response regulator;KSMBR1_1524;kustd1771
Q1PZK0;hycC;Similar to membrane-bound [NiFe]-hydrogenase-3, subunit C;KSMBR1_1525;kustd1773
Q1PZL8;;Uncharacterized protein;KSMBR1_1526;kustd1774
Q1PZL7;hycD;Similar to membrane-bound [NiFe]-hydrogenase-3, subunit D;KSMBR1_1527;kustd1775
Q1PZL6;hyfE;Similar to membrane-bound [NiFe]-hydrogenase-4, subunit E;KSMBR1_1528;kustd1776
Q1PZL5;HyfF hyfF;Strongly similar to membrane-bound [NiFe]-hydrogenase-4, subunit F;KSMBR1_1529;kustd1777
A0A2C9CDS2;hycE;Uncharacterized protein;KSMBR1_1530;
A0A2C9CEA4;hycG;Strongly similar to membrane-bound [NiFe]-hydrogenase-3, small subunit (Chain G);KSMBR1_1531;
Q1PZL1;ubiA;Similar to p-hydroxybenzoate: octaprenyltransferase;KSMBR1_1532;kustd1781
Q1PZM5;;DUF202 domain-containing protein;KSMBR1_1533;kustd1785
A0A2C9CEN9;;Uncharacterized protein;KSMBR1_1534;
Q1PZM3;RfbD rfbD;Similar to TDP-rhamnose synthetase, NAD(P)-binding;KSMBR1_1535;kustd1787
Q1PZM2;;Uncharacterized protein;KSMBR1_1536;kustd1788
A0A2C9CEB2;dnaE_1;DNA polymerase III subunit alpha (EC 2.7.7.7);KSMBR1_1537;
A0A2C9CH08;dnaE_2;DNA-directed DNA polymerase (EC 2.7.7.7);KSMBR1_1538;
A0A2C9CEM5;dnaE_3;DNA_pol3_finger domain-containing protein;KSMBR1_1539;
A0A2C9CDT2;dnaE_4;HHH_6 domain-containing protein;KSMBR1_1540;
A0A2C9CEB5;dnaE_5;Uncharacterized protein;KSMBR1_1541;
A0A2C9CEB6;glyQ_1;Strongly similar to glycine tRNA synthetase, alpha subunit (EC 6.1.1.14);KSMBR1_1542;
A0A2C9CEB3;glyQ_2;Strongly similar to glycine tRNA synthetase, alpha subunit (EC 6.1.1.14);KSMBR1_1543;
A0A2C9CEP9;;Uncharacterized protein;KSMBR1_1544;
A0A2C9CE47;htpG_1;Strongly similar to chaperone Hsp90, heat shock protein C 62.5;KSMBR1_1545;
A0A2C9CEH6;htpG_2;Strongly similar to chaperone Hsp90, heat shock protein C 62.5;KSMBR1_1546;
A0A2C9CEC2;htpG_3;Strongly similar to chaperone Hsp90, heat shock protein C 62.5;KSMBR1_1547;
A0A2C9CH19;xerC;Uncharacterized protein;KSMBR1_1548;
A0A2C9CEN4;pabB_1;Anth_synt_I_N domain-containing protein;KSMBR1_1549;
A0A2C9CDU1;pabB_2;Chorismate_bind domain-containing protein;KSMBR1_1550;
A0A2C9CEC3;pabB_3;Chorismate_bind domain-containing protein;KSMBR1_1551;
A0A2C9CEC5;ilvE_3;Uncharacterized protein;KSMBR1_1552;
A0A2C9CEC4;ilvE_4;Uncharacterized protein;KSMBR1_1553;
Q1PZP4;;Uncharacterized protein;KSMBR1_1554;kustd1802
A0A2C9CE58;;Universal stress protein;KSMBR1_1555;
Q1PZP2;PflA pflA;Similar to pyruvate formate lyase activating enzyme 1;KSMBR1_1556;kustd1804
A0A2C9CED2;;Uncharacterized protein;KSMBR1_1557;
A0A2C9CE69;;Uncharacterized protein;KSMBR1_1565;
A0A2C9CEJ7;;Uncharacterized protein;KSMBR1_1566;
A0A2C9CEE2;;Uncharacterized protein;KSMBR1_1567;
A0A2C9CEQ1;;Uncharacterized protein;KSMBR1_1569;
A0A2C9CEE3;;Uncharacterized protein;KSMBR1_1571;
A0A2C9CEE5;;Uncharacterized protein;KSMBR1_1572;
Q1PZP6;NadD nadD;Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase);KSMBR1_1573;kustd1818
A0A2C9CES8;;Putative nickel insertion protein;KSMBR1_1574;
A0A2C9CE80;;Uncharacterized protein;KSMBR1_1575;
A0A2C9CEK7;;TPR_REGION domain-containing protein;KSMBR1_1576;
Q1PZR1;;Major Facilitator Superfamily protein;KSMBR1_1577;kustd1822
Q1PZR0;;Uncharacterized protein;KSMBR1_1578;kustd1823
Q1PZQ8;MexE mexE;Strongly similar to RND multidrug efflux membrane fusion protein MexE;KSMBR1_1579;kustd1825
A0A2C9CDX0;mexF;Strongly similar to RND multidrug efflux transporter MexF;KSMBR1_1580;
A0A2C9CEF3;nuoF_1;Uncharacterized protein;KSMBR1_1581;
Q1PZQ5;;Putative transposase;KSMBR1_1582;kustd1828
Q1PZS3;;Uncharacterized protein;KSMBR1_1583;kustd1829
A0A2C9CET6;;Uncharacterized protein;KSMBR1_1584;
Q1PZS1;;DUF4159 domain-containing protein;KSMBR1_1585;kustd1831
A0A2C9CEL3;;Uncharacterized protein;KSMBR1_1586;
Q1PZR9;;Similar to ABC-type transport system (ATPase component) (EC 3.6.3.-);KSMBR1_1587;kustd1833
Q1PZR8;;Uncharacterized protein;KSMBR1_1588;kustd1834
Q1PZR7;;Uncharacterized protein;KSMBR1_1589;kustd1835
Q1PZR6;ppa hppA;Putative K(+)-stimulated pyrophosphate-energized sodium pump (EC 7.2.3.-) (Membrane-bound sodium-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (Na(+)-PPase);KSMBR1_1590;kustd1836
Q1PZT3;;Uncharacterized protein;KSMBR1_1591;kustd1838
Q1PZT2;;Uncharacterized protein;KSMBR1_1592;kustd1839
Q1PZT1;rpsU;30S ribosomal protein S21;KSMBR1_1593;kustd1840
Q1PZT0;trpD;Anthranilate phosphoribosyltransferase (EC 2.4.2.18);KSMBR1_1594;kustd1841
A0A2C9CEA1;speA;Uncharacterized protein;KSMBR1_1595;
Q1PZS8;argJ;"Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain;Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase);Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]";KSMBR1_1596;kustd1843
Q1PZS6;miaB;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase);KSMBR1_1597;kustd1845
Q1PZS5;entB;Strongly similar to isochorismatase (2,3 dihydro-2,3-dihydroxybenzoate synthase) (EC 3.3.2.1);KSMBR1_1598;kustd1846
Q1PZS4;nha;Strongly similar to Na+/H+ antiporter (CPA1 family);KSMBR1_1599;kustd1847
Q1PZU3;;Strongly similar DNA polymerase epsilon subunit (3'-5' exonuclease) (EC 2.7.7.7);KSMBR1_1600;kustd1848
A0A2C9CEH4;;Uncharacterized protein;KSMBR1_1601;
A0A2C9CEH3;;Uncharacterized protein;KSMBR1_1602;
A0A2C9CEH7;;Uncharacterized protein;KSMBR1_1603;
A0A2C9CEV7;;Uncharacterized protein;KSMBR1_1604;
A0A2C9CEB1;;Histidine kinase domain-containing protein;KSMBR1_1605;
Q1PZT5;;Strongly similar to sigma 54 response regulatory protein;KSMBR1_1606;kustd1856
Q1PZT4;;Uncharacterized protein;KSMBR1_1607;kustd1857
A0A2C9CH74;;CAAX amino terminal protease self- immunity;KSMBR1_1608;
A0A2C9CEV0;tyrS;Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS);KSMBR1_1609;
Q1PZV1;;DUF5615 domain-containing protein;KSMBR1_1610;kustd1860
Q1PZV0;;Uncharacterized protein;KSMBR1_1611;kustd1861
Q1PZU9;;Uncharacterized protein;KSMBR1_1612;kustd1862
Q1PZU8;;Mrr_cat domain-containing protein;KSMBR1_1613;kustd1863
Q1PZU7;;Uncharacterized protein;KSMBR1_1614;kustd1864
Q1PZU6;;Uncharacterized protein;KSMBR1_1615;kustd1865
Q1PZU5;;Uncharacterized protein;KSMBR1_1616;kustd1866
A0A2C9CEJ0;;Uncharacterized protein;KSMBR1_1617;
A0A2C9CH91;;Uncharacterized protein;KSMBR1_1618;
Q1PZW0;;ABC transporter substrate binding protein;KSMBR1_1619;kustd1870
Q1PZV9;cmk;Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase);KSMBR1_1620;kustd1871
Q1PZV8;rpsA;Strongly similar to 30S ribosomal protein S1;KSMBR1_1621;kustd1872
Q1PZV7;sigA;RNA polymerase sigma factor;KSMBR1_1622;kustd1873
Q1PZV6;apt;Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7);KSMBR1_1623;kustd1874
A0A2C9CEX7;;Uncharacterized protein;KSMBR1_1624;
Q1PZV4;trpE;Anthranilate synthase component 1 (EC 4.1.3.27);KSMBR1_1625;kustd1876
Q1PZX2;;Uncharacterized protein;KSMBR1_1626;kustd1877
A0A2C9CEK0;;Uncharacterized protein;KSMBR1_1627;
Q1PZX1;;Putative outer membrane protein (OMP);KSMBR1_1628;kustd1878
Q1PZW6;;SPFH domain / Band 7 family protein;KSMBR1_1629;kustd1883
Q1PZW5;;SPFH domain / Band 7 family protein;KSMBR1_1630;kustd1884
Q1PZW3;;FGE-sulfatase domain-containing protein;KSMBR1_1631;kustd1886
Q1PZY2;;Uncharacterized protein;KSMBR1_1632;kustd1887
A0A2C9CEK8;serA;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);KSMBR1_1633;
Q1PZY0;;ABC-2 family transporter protein;KSMBR1_1634;kustd1889
A0A2C9CEE1;parB;Strongly similar to chromosome partitioning protein;KSMBR1_1635;
A0A2C9CER3;pyrG;CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase);KSMBR1_1636;
Q1PZX7;kdsB kdsB_1;3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase);KSMBR1_1637;kustd1892
Q1PZX6;;Conserved hypothetical iron sulfur protein;KSMBR1_1638;kustd1893
Q1PZX5;rodA;Peptidoglycan glycosyltransferase RodA (PGT) (EC 2.4.1.129) (Cell elongation protein RodA) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase);KSMBR1_1639;kustd1894
Q1PZX4;pbpA;Similar to penicillin-binding protein 2;KSMBR1_1640;kustd1895
Q1PZX3;mreD;Similar to rod shape-determining protein;KSMBR1_1641;kustd1896
A0A2C9CEL6;mreC;Uncharacterized protein;KSMBR1_1642;
Q1PZZ1;mreB;Strongly similar to cell shape-determining protein;KSMBR1_1643;kustd1898
A0A2C9CEZ7;cutE lnt;Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269);KSMBR1_1644;
Q1PZY9;moeA moeA_1;Molybdopterin molybdenumtransferase (EC 2.10.1.1);KSMBR1_1645;kustd1900
A0A2C9CES2;;Uncharacterized protein;KSMBR1_1646;
A0A2C9CHC1;;DUF4338 domain-containing protein;KSMBR1_1648;
A0A2C9CEZ1;;Transposase;KSMBR1_1649;
A0A2C9CE41;copA_2;Uncharacterized protein;KSMBR1_1650;
A0A2C9CEM3;;Uncharacterized protein;KSMBR1_1651;
A0A2C9CEM4;;Uncharacterized protein;KSMBR1_1652;
A0A2C9CEM8;;Uncharacterized protein;KSMBR1_1653;
A0A2C9CF07;;Uncharacterized protein;KSMBR1_1654;
A0A2C9CEG2;;Uncharacterized protein;KSMBR1_1655;
A0A2C9CES6;;HicB-like domain-containing protein;KSMBR1_1656;
A0A2C9CEN3;;Uncharacterized protein;KSMBR1_1657;
A0A2C9CHD1;;Uncharacterized protein;KSMBR1_1658;
A0A2C9CF00;;Uncharacterized protein;KSMBR1_1659;
A0A2C9CEN2;;Transcription elongation factor GreA/GreB domain protein;KSMBR1_1661;
Q1PWT0;;DDE_Tnp_1 domain-containing protein;KSMBR1_1662 KSMBR1_1735 KSMBR1_2129 KSMBR1_3500;kustc0941
A0A2C9CEN7;;Transcription elongation factor GreA/GreB domain protein;KSMBR1_1663;
A0A2C9CEH2;;Uncharacterized protein;KSMBR1_1665;
A0A2C9CET9;;Uncharacterized protein;KSMBR1_1666;
A0A2C9CEP5;;Uncharacterized protein;KSMBR1_1667;
A0A2C9CHE1;;Uncharacterized protein;KSMBR1_1668;
A0A2C9CF09;carQ;RNA polymerase sigma factor CarQ;KSMBR1_1669;
A0A2C9CE57;;Uncharacterized protein;KSMBR1_1670;
Q1PZY6;;Uncharacterized protein;KSMBR1_1671;kustd1903
Q1PZY5;yhjA;Strongly similar to cytochrome c peroxidase (EC 1.11.1.5);KSMBR1_1672;kustd1904
Q1PZY4;rbn;Ribonuclease BN (EC 3.1.-.-);KSMBR1_1673;kustd1905
A0A2C9CF24;;Uncharacterized protein;KSMBR1_1674;
Q1Q002;mqnE;Aminodeoxyfutalosine synthase (AFL synthase) (Aminofutalosine synthase) (EC 2.5.1.120) (Menaquinone biosynthetic enzyme MqnE);KSMBR1_1675;kustd1907
A0A2C9CEU8;;Fibronectin type-III domain-containing protein;KSMBR1_1676;
A0A2C9CEQ3;;DDE_Tnp_1 domain-containing protein;KSMBR1_1677 KSMBR1_3048 KSMBR1_4033;
Q1PZZ6;;Uncharacterized protein;KSMBR1_1678;kustd1913
A0A2C9CF19;;Uncharacterized protein;KSMBR1_1679;
A0A2C9CE67;;Uncharacterized protein;KSMBR1_1680;
Q1Q008;;Sodium/glutamate symporter;KSMBR1_1681;kustd1920
Q1Q007;OPRM oprM;Similar to multicomponent efflux pump (Outer membrane subunit, RND family of ABC transporters);KSMBR1_1682;kustd1921
A0A2C9CEQ6;acrB;Uncharacterized protein;KSMBR1_1683;
A0A2C9CF35;nolF;HlyD_D23 domain-containing protein;KSMBR1_1684;
A0A2C9CEJ3;pplase;Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8);KSMBR1_1685;
A0A2C9CEV8;;Uncharacterized protein;KSMBR1_1686;
A0A2C9CER4;xdhC;Uncharacterized protein;KSMBR1_1687;
A0A2C9CHG0;bphG;Pyr_redox_2 domain-containing protein;KSMBR1_1688;
Q1Q016;;Similar to dTDP-glucose 4,6-dehydratase (EC 4.2.1.46);KSMBR1_1689;kustd1930
A0A2C9CE77;;FMN_red domain-containing protein;KSMBR1_1690;
Q1Q013;MANB manB;Strongly similar to phosphomannomutase (EC 5.4.2.8);KSMBR1_1691;kustd1933
Q1Q012;;Uncharacterized protein;KSMBR1_1692;kustd1934
Q1Q029;nusG nusG_1;Similar to transcription antitermination protein NusG;KSMBR1_1693;kustd1935
Q1Q028;;Uncharacterized protein;KSMBR1_1694;kustd1936
Q1Q027;;Probable membrane transporter protein;KSMBR1_1695;kustd1937
A0A2C9CEW8;;Uncharacterized protein;KSMBR1_1696;
A0A2C9CET2;;J domain-containing protein;KSMBR1_1697;
Q1Q022;grpE grpE_1;Protein GrpE;KSMBR1_1698;kustd1942
A0A2C9CF40;dnaK_1;Strongly similar to molecular chaperone DnaK;KSMBR1_1699;
Q1Q039;;Uncharacterized protein;KSMBR1_1700;kustd1944
A0A2C9CES9;cstA;Uncharacterized protein;KSMBR1_1701;
Q1Q037;;Uncharacterized protein;KSMBR1_1702;kustd1946
Q1Q036;;Uncharacterized protein;KSMBR1_1703;kustd1947
Q1Q033;;Uncharacterized protein;KSMBR1_1705;kustd1950
Q1Q032;;Uncharacterized protein;KSMBR1_1706;kustd1951
A0A2C9CEU3;;Uncharacterized protein;KSMBR1_1707;
Q1Q048;;Uncharacterized protein;KSMBR1_1708;kustd1955
Q1Q047;;Uncharacterized protein;KSMBR1_1709;kustd1956
A0A2C9CE97;;GLOBIN domain-containing protein;KSMBR1_1710;
Q1Q045;moaA nirJ pqqE pqqE_2;Similar to moaA/nirJ/pqqE cofactor biosynthesis protein;KSMBR1_1711;kustd1958
Q1Q044;yxaL yxaL_2;Similar to beta-propeller protein YxaL;KSMBR1_1712;kustd1959
Q1Q042;;LysM domain/BON superfamily protein;KSMBR1_1713;kustd1961
A0A2C9CF65;secD secF;"Multifunctional fusion protein [Includes: Protein translocase subunit SecD;Protein-export membrane protein SecF]";KSMBR1_1714;
Q1Q040;;Uncharacterized protein;KSMBR1_1715;kustd1963
A0A2C9CEY8;tgt;Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase);KSMBR1_1716;
A0A2C9CEV5;lytB;Amidase enhancer;KSMBR1_1717;
Q1Q056;queH;Epoxyqueuosine reductase QueH (EC 1.17.99.6) (Queuosine biosynthesis protein QueH);KSMBR1_1718;kustd1966
Q1Q055;ruvB;Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12);KSMBR1_1719;kustd1967
A0A2C9CEA7;ruvA;Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12);KSMBR1_1720;
Q1Q053;;TPR_REGION domain-containing protein;KSMBR1_1721;kustd1969
